Date,BTC_Purchased,Total_BTC,Total_Investment_USD
2020-08-11,21454,21454,250000000
2020-09-14,16796,38250,425000000
2020-12-04,2574,40824,475000000
2020-12-21,29646,70470,1125000000
2021-01-22,314,70784,1135000000
2021-02-02,295,71079,1145000000
2021-02-24,19452,90531,2171000000
2021-03-01,328,90859,2186000000
2021-03-05,205,91064,2196000000
2021-03-12,262,91326,2211000000
2021-04-05,253,91579,2226000000
2021-05-13,271,91850,2241000000
2021-05-18,229,92079,2251000000
2021-06-21,13005,105085,2740000000
2021-09-13,8957,114042,3159000000
2021-11-28,7002,121044,3573000000
2021-12-08,1434,122478,3655400000
2021-12-30,1914,124391,3750000000
2022-01-31,660,125051,3775000000
2022-04-05,4167,129218,3965000000
2022-06-28,480,129699,3975000000
2022-09-20,301,130000,3981000000
2022-12-21,2395,132395,4024000000
2022-12-22,-704,131690,4012000000
2022-12-24,810,132500,4027000000
2023-03-27,6455,138955,4140000000
2023-04-05,1045,140000,4170000000
2023-06-27,12333,152333,4517000000
2023-07-31,467,152800,4530000000
2023-09-24,5445,158245,4680000000
2023-11-01,155,158400,4690000000
2023-11-30,16130,174530,5280000000
2023-12-27,14620,189150,5900000000
2024-02-06,850,190000,5930000000
2024-02-26,3000,193000,6090000000
2024-03-11,12000,205000,6910000000
2024-03-19,9245,214246,7530000000
2024-05-01,164,214400,7538000000
2024-06-20,11931,226331,8330000000
2024-08-01,169,226500,8340000000
2024-09-13,18300,244800,9450000000
2024-09-20,7420,252220,9910000000 
